# RxL_SN0003_calculated_noise_H_chan, 
# f (Hz), T_e_cal (K)
1416828800.000000, 18.972422
1417827456.000000, 19.158577
1418826240.000000, 19.384551
1419824896.000000, 19.067067
1420823552.000000, 18.856278
1421822336.000000, 18.824505
1422820992.000000, 18.919083
1423819776.000000, 18.865899
1424818432.000000, 18.795523
1425817088.000000, 18.848882
1426815872.000000, 18.898363
1427814528.000000, 18.863849
1428813184.000000, 18.766554
1429811968.000000, 18.782909
1430810624.000000, 18.811719
1431809280.000000, 18.737888
1432808064.000000, 18.715161
1433806720.000000, 18.569524
1434805504.000000, 18.751067
1435804160.000000, 18.473514
1436802816.000000, 18.891150
1437801600.000000, 18.669897
1438800256.000000, 18.535219
1439798912.000000, 18.185281
1440797696.000000, 18.307894
1441796352.000000, 18.512505
1442795008.000000, 18.357838
1443793792.000000, 18.391955
1444792448.000000, 18.454878
1445791232.000000, 18.303905
1446789888.000000, 18.208091
1447788544.000000, 18.322477
1448787328.000000, 18.261384
1449785984.000000, 18.235788
1450784640.000000, 18.280268
1451783424.000000, 17.997638
1452782080.000000, 18.337415
1453780864.000000, 18.116684
1454779520.000000, 18.309114
1455778176.000000, 18.207795
1456776960.000000, 18.194117
1457775616.000000, 18.237423
1458774272.000000, 18.319994
1459773056.000000, 18.250640
